src,dst,weight,tx_count,is_layering
WALLET_0x000000000124,WALLET_0x0000000006eb,386103.16929887334,16,0
WALLET_0x0000000002af,WALLET_0x00000000057c,193754.37405063774,17,0
WALLET_0x0000000007ae,WALLET_0x000000000304,67500.76544031102,3,0
WALLET_0x000000000499,WALLET_0x000000000487,735580.0450584963,11,0
WALLET_0x0000000003a4,WALLET_0x000000000777,342804.2751540247,5,0
WALLET_0x00000000055e,WALLET_0x00000000000a,849480.8931114641,4,0
WALLET_0x00000000029b,WALLET_0x0000000006ef,880474.354358678,25,0
WALLET_0x000000000017,WALLET_0x000000000510,19323889.58543932,28,0
WALLET_0x000000000048,WALLET_0x000000000686,2663164.1702580554,2,0
WALLET_0x0000000006df,WALLET_0x0000000006db,1004876.2655152137,17,0
WALLET_0x0000000006f6,WALLET_0x000000000602,17935.862419216428,5,0
WALLET_0x0000000003aa,WALLET_0x000000000272,796883.7800189761,5,0
WALLET_0x000000000538,WALLET_0x000000000131,4748794.353542552,30,0
WALLET_0x000000000046,WALLET_0x0000000004d9,233178.4721485403,8,0
WALLET_0x00000000027f,WALLET_0x0000000005b7,11828489.054884737,22,0
WALLET_0x00000000058d,WALLET_0x00000000058c,1000286.0766990907,18,0
WALLET_0x000000000298,WALLET_0x0000000002cb,688198.41460703,24,0
WALLET_0x000000000152,WALLET_0x0000000002f2,100092.02222435229,8,0
WALLET_0x0000000001a5,WALLET_0x00000000069f,4220864.3092225725,9,0
WALLET_0x0000000006a9,WALLET_0x000000000225,127269.28526782957,6,0
WALLET_0x000000000257,WALLET_0x0000000007ae,189745.60552727012,28,0
WALLET_0x00000000072f,WALLET_0x000000000593,26327.90001173012,18,0
WALLET_0x000000000325,WALLET_0x000000000090,1696759.4222704265,23,0
WALLET_0x0000000003ad,WALLET_0x00000000070e,1068213.0229161507,12,0
WALLET_0x000000000734,WALLET_0x00000000006a,449235.7979424489,16,0
WALLET_0x00000000058b,WALLET_0x000000000711,1342934.0795232728,17,0
WALLET_0x000000000769,WALLET_0x000000000555,1165878.0622567204,19,0
WALLET_0x0000000002ad,WALLET_0x00000000079c,255690.98654016235,19,0
WALLET_0x0000000004b7,WALLET_0x0000000007c1,136317.80458368175,17,0
WALLET_0x0000000001e5,WALLET_0x000000000553,33762.01397138015,3,0
WALLET_0x000000000732,WALLET_0x00000000060d,338908.5167152894,15,0
WALLET_0x000000000656,WALLET_0x00000000068a,62179.214328440336,5,0
WALLET_0x00000000006f,WALLET_0x000000000233,564673.0380715334,19,0
WALLET_0x0000000006ca,WALLET_0x0000000005c0,347796.89187651174,5,0
WALLET_0x000000000422,WALLET_0x00000000062c,242063.12312789963,6,0
WALLET_0x00000000013c,WALLET_0x0000000006a1,2126045.499307839,30,0
WALLET_0x0000000000eb,WALLET_0x0000000006af,100755.66403928799,16,0
WALLET_0x0000000006da,WALLET_0x0000000005db,27667.8479143117,20,0
WALLET_0x000000000237,WALLET_0x0000000005fb,315498.88579820306,2,0
WALLET_0x0000000003a0,WALLET_0x0000000006de,145813.71331099965,3,0
WALLET_0x000000000253,WALLET_0x00000000021c,530913.157594874,17,0
WALLET_0x00000000059c,WALLET_0x00000000010a,112376.0285143838,25,0
WALLET_0x000000000680,WALLET_0x000000000608,831338.25172527,18,0
