entity_id,entity_type,country,age_days,kyc_level,txn_count_30d,total_volume_30d,avg_tx_amount,distinct_counterparties_30d,pep_flag,sanction_flag,has_crypto_activity,is_fraud
IND_000000,individual,ID,132,1,9,5838048.855900224,648672.1,9,False,False,False,0
IND_000001,individual,ID,386,1,30,44625487.547117,1487516.25,3,False,False,False,0
IND_000002,individual,ID,844,0,60,14134664.219974568,235577.74,27,False,False,False,1
IND_000003,individual,ID,3330,1,0,0.0,0.0,0,False,False,True,1
IND_000004,individual,ID,426,2,17,3085811.2277720664,181518.31,17,False,False,False,0
IND_000005,individual,ID,1580,1,14,12689962.567344695,906425.9,14,False,False,False,0
IND_000006,individual,ID,2915,1,27,6435332.521006385,238345.65,27,False,False,True,0
IND_000007,individual,ID,443,1,15,20686212.765670683,1379080.85,15,False,False,False,0
IND_000008,individual,ID,1123,2,9,3279226.448451397,364358.49,9,False,False,False,0
IND_000009,individual,ID,699,0,20,14117856.456300538,705892.82,18,False,False,False,0
IND_000010,individual,ID,3482,1,126,233489945.94393745,1853094.81,4,False,False,False,0
IND_000011,individual,ID,894,2,29,36962301.6443046,1274562.13,29,False,False,False,0
IND_000012,individual,ID,2663,1,10,661742.6656406866,66174.27,10,False,False,False,0
IND_000013,individual,ID,1784,2,6,922691.2495282764,153781.87,6,False,False,False,0
IND_000014,individual,ID,3125,1,38,48782602.99397281,1283752.71,8,False,False,False,0
IND_000015,individual,ID,1606,2,21,4396632.934321116,209363.47,21,False,False,False,0
IND_000016,individual,ID,2982,2,9,14898944.780065697,1655438.31,9,False,False,True,1
IND_000017,individual,ID,1888,1,55,8281077.559131184,150565.05,47,False,False,False,0
IND_000018,individual,ID,465,2,9,3635510.4420076977,403945.6,9,False,False,False,0
IND_000019,individual,ID,691,2,66,43814363.01980826,663853.99,50,False,False,False,0
IND_000020,individual,ID,488,1,18,7402548.219809506,411252.68,18,False,False,False,0
IND_000021,individual,ID,3027,0,6,9274223.191713912,1545703.87,5,False,False,False,0
IND_000022,individual,ID,2281,2,16,1177052.602506155,73565.79,16,False,False,False,0
IND_000023,individual,ID,3019,1,21,5566515.790651314,265072.18,21,False,False,False,0
IND_000024,individual,ID,2149,2,36,63932789.27762488,1775910.81,16,False,False,False,0
IND_000025,individual,ID,932,2,62,33861808.27798171,546158.2,46,False,False,False,0
IND_000026,individual,ID,320,1,20,5690686.246799745,284534.31,18,False,False,False,0
IND_000027,individual,ID,2368,2,0,0.0,0.0,0,False,False,False,0
IND_000028,individual,ID,1795,1,34,12324348.723558305,362480.84,27,False,False,False,0
IND_000029,individual,ID,433,1,10,23850973.19731986,2385097.32,10,False,False,False,0
IND_000030,individual,ID,1867,2,24,1425236.4446055638,59384.85,12,False,False,False,0
IND_000031,individual,ID,3558,1,27,7107817.050182432,263252.48,7,False,False,False,0
IND_000032,individual,ID,3116,1,35,11347564.391457822,324216.13,11,False,False,False,0
IND_000033,individual,ID,704,1,32,14032403.134937484,438512.6,25,False,False,False,0
IND_000034,individual,MM,3022,2,12,13425623.988308312,1118802.0,12,False,False,False,0
IND_000035,individual,ID,269,1,63,148178121.33089912,2352033.67,35,False,False,True,0
IND_000036,individual,ID,3522,1,16,21431746.29041891,1339484.14,4,False,False,False,0
IND_000037,individual,ID,2795,0,74,93397243.69156069,1262124.91,26,False,False,False,0
IND_000038,individual,ID,2566,1,39,3977298.596134273,101982.02,39,False,False,False,0
IND_000039,individual,ID,2963,2,39,14223936.805157864,364716.33,17,False,False,False,0
IND_000040,individual,SY,3109,1,18,15521208.17686447,862289.34,1,False,False,False,0
IND_000041,individual,ID,903,2,61,568134715.4753517,9313683.86,9,False,False,False,0
IND_000042,individual,ID,676,1,6,11079777.707303502,1846629.62,6,False,False,False,0
IND_000043,individual,ID,62,2,38,72425652.87686154,1905938.23,36,False,False,False,0
IND_000044,individual,ID,502,1,29,35469280.758289,1223078.65,29,False,False,False,0
IND_000045,individual,ID,863,1,28,2876194.5435940577,102721.23,17,False,False,False,0
IND_000046,individual,ID,2628,2,42,5910688.641092604,140730.68,18,False,False,False,0
IND_000047,individual,ID,691,1,43,87161000.12643096,2027000.0,36,False,False,False,0
